global_sample_index,num_false_negatives,num_false_positives,error_count,true_labels,predicted_labels,false_negative_labels,false_positive_labels,false_negative_probs,false_positive_probs
138375,3,3,6,Alkane | Amide | Arene | Ester | Ether | Nitrile,Alkane | Amide | Amine | Arene | Haloalkane | Imide,Ester | Ether | Nitrile,Amine | Haloalkane | Imide,Ester=0.2713 | Ether=0.3636 | Nitrile=0.8683,Amine=0.6152 | Haloalkane=0.7082 | Imide=0.9612
138388,2,4,6,Alkane | Amine | Arene | Haloalkane | Sulfonamide,Alkane | Arene | Carbamate | Ether | Sulfide | Sulfonamide | Sulfone,Amine | Haloalkane,Carbamate | Ether | Sulfide | Sulfone,Amine=0.0601 | Haloalkane=0.2580,Carbamate=0.8236 | Ether=0.8198 | Sulfide=0.5000 | Sulfone=0.9700
141635,3,3,6,Alkane | Alkene | Arene | Ether | Haloalkane | Ketone | Nitrile,Aldehyde | Alkane | Alkene | Arene | Haloalkane | Imide | Sulfide,Ether | Ketone | Nitrile,Aldehyde | Imide | Sulfide,Ether=0.0752 | Ketone=0.1433 | Nitrile=0.0227,Aldehyde=0.9449 | Imide=0.8910 | Sulfide=0.5085
142208,2,4,6,Alcohol | Alkane | Alkene | Arene | Enol,Alcohol | Alkane | Amine | Arene | Haloalkane | Phenol | Sulfide,Alkene | Enol,Amine | Haloalkane | Phenol | Sulfide,Alkene=0.0358 | Enol=0.0000,Amine=0.5815 | Haloalkane=0.5004 | Phenol=1.0000 | Sulfide=0.5136
143041,4,2,6,Alkane | Alkene | Amine | Enamine | Ester | Ether,Alkane | Amine | Haloalkane | Ketone,Alkene | Enamine | Ester | Ether,Haloalkane | Ketone,Alkene=0.5546 | Enamine=0.8902 | Ester=0.0720 | Ether=0.1224,Haloalkane=0.5831 | Ketone=0.7008
146060,5,1,6,Alkane | Alkene | Amine | Arene | Enamine | Ketone | Sulfide | Sulfonate,Alkane | Amide | Arene | Ketone,Alkene | Amine | Enamine | Sulfide | Sulfonate,Amide,Alkene=0.4304 | Amine=0.0735 | Enamine=0.0001 | Sulfide=0.2484 | Sulfonate=0.8122,Amide=0.8121
146916,4,2,6,Alcohol | Alkane | Alkene | Amine | Arene | Enamine | Enol | Sulfonamide,Alcohol | Alkane | Amine | Arene | Haloalkane | Sulfone,Alkene | Enamine | Enol | Sulfonamide,Haloalkane | Sulfone,Alkene=0.1899 | Enamine=0.4224 | Enol=0.0044 | Sulfonamide=0.3100,Haloalkane=0.6185 | Sulfone=0.9988
149102,6,0,6,Alkane | Alkene | Amide | Amine | Carbamate | Enamine | Ester | Ether | Hydrazine | Ketone,Alkane | Alkene | Carbamate | Ether,Amide | Amine | Enamine | Ester | Hydrazine | Ketone,,Amide=0.1710 | Amine=0.0791 | Enamine=0.4766 | Ester=0.2150 | Hydrazine=0.0005 | Ketone=0.3582,
151908,5,1,6,Alkane | Alkene | Amide | Amine | Arene | Enamine | Haloalkane | Hydrazone,Alkane | Arene | Ether | Haloalkane,Alkene | Amide | Amine | Enamine | Hydrazone,Ether,Alkene=0.0475 | Amide=0.0043 | Amine=0.0521 | Enamine=0.0000 | Hydrazone=0.0005,Ether=0.9096
162167,5,1,6,Alcohol | Alkane | Alkene | Amine | Arene | Enamine | Ester | Ether | Ketone,Alcohol | Alkane | Amine | Arene | Haloalkane,Alkene | Enamine | Ester | Ether | Ketone,Haloalkane,Alkene=0.0127 | Enamine=0.0001 | Ester=0.0210 | Ether=0.0307 | Ketone=0.5861,Haloalkane=0.4481
163403,2,4,6,Alkane | Amine | Ether | Haloalkane,Alcohol | Alkane | Alkene | Ester | Ether | Ketone,Amine | Haloalkane,Alcohol | Alkene | Ester | Ketone,Amine=0.0848 | Haloalkane=0.1352,Alcohol=0.9075 | Alkene=0.6992 | Ester=0.8719 | Ketone=0.6855
167727,3,3,6,Alkane | Amide | Amine | Arene | Ether | Sulfonamide,Aldehyde | Alkane | Amide | Amine | Haloalkane | Sulfide,Arene | Ether | Sulfonamide,Aldehyde | Haloalkane | Sulfide,Arene=0.1104 | Ether=0.0474 | Sulfonamide=0.4588,Aldehyde=0.9919 | Haloalkane=0.4428 | Sulfide=0.7210
171312,2,4,6,Alkane | Ester | Ether | Haloalkane | Sulfide,Alkane | Amide | Amine | Arene | Enamine | Haloalkane | Sulfide,Ester | Ether,Amide | Amine | Arene | Enamine,Ester=0.0245 | Ether=0.0117,Amide=0.8017 | Amine=0.9657 | Arene=0.5821 | Enamine=0.9644
176998,4,2,6,Alcohol | Alkane | Alkene | Amine | Arene | Carboxylic acid | Enamine | Ketone | Sulfide,Alcohol | Alkane | Amide | Amine | Arene | Carboxylic acid | Haloalkane,Alkene | Enamine | Ketone | Sulfide,Amide | Haloalkane,Alkene=0.0133 | Enamine=0.0000 | Ketone=0.0118 | Sulfide=0.0344,Amide=0.5293 | Haloalkane=0.6826
177176,3,3,6,Alkane | Alkyne | Amide | Arene | Ether | Sulfide | Sulfone,Alcohol | Alkane | Amide | Amine | Arene | Sulfide | Sulfonamide,Alkyne | Ether | Sulfone,Alcohol | Amine | Sulfonamide,Alkyne=0.0167 | Ether=0.1280 | Sulfone=0.6513,Alcohol=0.7392 | Amine=0.9065 | Sulfonamide=0.7972
179371,4,2,6,Alkane | Alkene | Amine | Arene | Enamine | Haloalkane | Ketone,Alkane | Amide | Arene | Ether | Haloalkane,Alkene | Amine | Enamine | Ketone,Amide | Ether,Alkene=0.3355 | Amine=0.0419 | Enamine=0.7836 | Ketone=0.3493,Amide=0.9546 | Ether=0.5588
180941,3,3,6,Alkane | Alkene | Arene | Carbamate | Enamine | Ether,Alkane | Amine | Arene | Ester | Ether | Imine,Alkene | Carbamate | Enamine,Amine | Ester | Imine,Alkene=0.0913 | Carbamate=0.0479 | Enamine=0.1370,Amine=0.7067 | Ester=0.6735 | Imine=0.9997
181731,1,5,6,Aldehyde | Arene | Haloalkane,Alkane | Amide | Amine | Arene | Ether | Haloalkane | Ketone,Aldehyde,Alkane | Amide | Amine | Ether | Ketone,Aldehyde=0.0390,Alkane=0.9989 | Amide=0.7259 | Amine=0.8960 | Ether=0.6704 | Ketone=0.9015
184168,2,4,6,Acyl halide | Alkane | Haloalkane | Imide,Alkane | Amine | Arene | Ether | Haloalkane | Sulfide,Acyl halide | Imide,Amine | Arene | Ether | Sulfide,Acyl halide=0.0000 | Imide=0.0233,Amine=0.9101 | Arene=0.3115 | Ether=0.4740 | Sulfide=0.7583
184616,4,2,6,Alkane | Amide | Amine | Arene | Ether | Haloalkane | Imide | Ketone,Alkane | Amine | Arene | Haloalkane | Sulfide | Sulfoxide,Amide | Ether | Imide | Ketone,Sulfide | Sulfoxide,Amide=0.2238 | Ether=0.2602 | Imide=0.1203 | Ketone=0.0970,Sulfide=0.6862 | Sulfoxide=0.9896
184804,4,2,6,Alkane | Amine | Arene | Ester | Ether | Haloalkane | Hydrazone,Alkane | Amide | Arene | Haloalkane | Sulfide,Amine | Ester | Ether | Hydrazone,Amide | Sulfide,Amine=0.2753 | Ester=0.1524 | Ether=0.3799 | Hydrazone=0.0000,Amide=0.4634 | Sulfide=0.5744
185748,2,4,6,Alkane | Arene | Carbamate | Ketone,Alkane | Arene | Ester | Ether | Haloalkane | Sulfide,Carbamate | Ketone,Ester | Ether | Haloalkane | Sulfide,Carbamate=0.2975 | Ketone=0.2161,Ester=0.6193 | Ether=0.8404 | Haloalkane=0.5139 | Sulfide=0.6125
192697,5,1,6,Alkane | Alkene | Amine | Arene | Enamine | Haloalkane | Ketone,Alkane | Arene | Ether,Alkene | Amine | Enamine | Haloalkane | Ketone,Ether,Alkene=0.0255 | Amine=0.0859 | Enamine=0.0003 | Haloalkane=0.3489 | Ketone=0.2277,Ether=0.7364
199919,4,2,6,Alkane | Alkene | Amine | Arene | Enamine | Ester | Ether,Alcohol | Alkane | Amine | Ether | Sulfide,Alkene | Arene | Enamine | Ester,Alcohol | Sulfide,Alkene=0.2905 | Arene=0.0312 | Enamine=0.0000 | Ester=0.0077,Alcohol=0.9892 | Sulfide=0.5152
201793,5,1,6,Alkane | Alkene | Amide | Arene | Enamine | Ether | Ketone | Sulfide | Sulfone,Alkane | Arene | Ether | Haloalkane | Sulfone,Alkene | Amide | Enamine | Ketone | Sulfide,Haloalkane,Alkene=0.4576 | Amide=0.0399 | Enamine=0.0000 | Ketone=0.0125 | Sulfide=0.0792,Haloalkane=0.9170
204245,4,2,6,Alcohol | Alkane | Alkene | Arene | Enol | Ester | Ether | Ketone,Alcohol | Alkane | Arene | Ether | Haloalkane | Phenol,Alkene | Enol | Ester | Ketone,Haloalkane | Phenol,Alkene=0.0038 | Enol=0.0000 | Ester=0.2565 | Ketone=0.0867,Haloalkane=0.6436 | Phenol=0.9917
206416,1,5,6,Alkane | Amide,Alkane | Carbamate | Ester | Ether | Haloalkane | Sulfide,Amide,Carbamate | Ester | Ether | Haloalkane | Sulfide,Amide=0.0117,Carbamate=0.9999 | Ester=0.8462 | Ether=0.9941 | Haloalkane=0.5661 | Sulfide=0.5941
209137,4,2,6,Alcohol | Alkane | Alkene | Amine | Arene | Enol | Ester | Ether | Ketone | Sulfide,Alcohol | Alkane | Arene | Ester | Ether | Haloalkane | Ketone | Phenol,Alkene | Amine | Enol | Sulfide,Haloalkane | Phenol,Alkene=0.2772 | Amine=0.1800 | Enol=0.0179 | Sulfide=0.3382,Haloalkane=0.5476 | Phenol=0.9556
210077,2,4,6,Alkane | Amide | Arene | Sulfone,Alkane | Amide | Ester | Ether | Haloalkane | Sulfide,Arene | Sulfone,Ester | Ether | Haloalkane | Sulfide,Arene=0.1349 | Sulfone=0.0001,Ester=0.8722 | Ether=0.7011 | Haloalkane=0.4948 | Sulfide=0.6797
211541,4,2,6,Alkane | Amide | Amine | Arene | Carbamate | Ether | Hydrazine,Alkane | Arene | Ester | Ether | Haloalkane,Amide | Amine | Carbamate | Hydrazine,Ester | Haloalkane,Amide=0.0221 | Amine=0.1767 | Carbamate=0.2229 | Hydrazine=0.0007,Ester=0.9923 | Haloalkane=0.4547
213474,5,1,6,Alkane | Alkene | Amide | Amine | Arene | Enamine | Ester | Ether | Haloalkane | Thioamide,Alkane | Amide | Arene | Ether | Haloalkane | Sulfide,Alkene | Amine | Enamine | Ester | Thioamide,Sulfide,Alkene=0.0340 | Amine=0.0619 | Enamine=0.1167 | Ester=0.1343 | Thioamide=0.0000,Sulfide=0.6195
213606,4,2,6,Alkane | Alkene | Amine | Ketone | Sulfide | Sulfonamide,Alkane | Ether | Imine | Sulfide,Alkene | Amine | Ketone | Sulfonamide,Ether | Imine,Alkene=0.2982 | Amine=0.3050 | Ketone=0.0220 | Sulfonamide=0.0000,Ether=0.6437 | Imine=0.9957
215409,5,1,6,Alcohol | Alkane | Alkene | Arene | Carboxylic acid | Ether | Ketone | Phenol | Sulfide,Alcohol | Alkene | Arene | Carboxylic acid | Haloalkane,Alkane | Ether | Ketone | Phenol | Sulfide,Haloalkane,Alkane=0.0301 | Ether=0.3037 | Ketone=0.3916 | Phenol=0.6410 | Sulfide=0.4289,Haloalkane=0.4464
216272,1,5,6,Arene | Sulfonate,Alkane | Amine | Arene | Ether | Haloalkane | Sulfonamide,Sulfonate,Alkane | Amine | Ether | Haloalkane | Sulfonamide,Sulfonate=0.0002,Alkane=0.5665 | Amine=0.5461 | Ether=0.3956 | Haloalkane=0.6027 | Sulfonamide=0.9882
217002,4,2,6,Alkane | Amine | Arene | Ester | Ether | Sulfide | Sulfonamide,Acyl halide | Alkane | Alkene | Amine | Ether,Arene | Ester | Sulfide | Sulfonamide,Acyl halide | Alkene,Arene=0.1189 | Ester=0.0108 | Sulfide=0.1499 | Sulfonamide=0.6000,Acyl halide=0.9999 | Alkene=0.9668
221784,2,4,6,Alkane | Amide | Amine,Alkane | Ester | Ether | Haloalkane | Sulfide,Amide | Amine,Ester | Ether | Haloalkane | Sulfide,Amide=0.0740 | Amine=0.2631,Ester=0.7347 | Ether=0.9695 | Haloalkane=0.9149 | Sulfide=0.7800
225300,3,3,6,Alcohol | Alkane | Amine | Arene | Haloalkane | Ketone,Alcohol | Alkane | Arene | Ester | Ether | Phenol,Amine | Haloalkane | Ketone,Ester | Ether | Phenol,Amine=0.1500 | Haloalkane=0.2997 | Ketone=0.2835,Ester=0.8915 | Ether=0.8250 | Phenol=0.7116
226637,2,4,6,Alkane | Amine | Arene | Haloalkane,Alkane | Amide | Arene | Ester | Ether | Sulfide,Amine | Haloalkane,Amide | Ester | Ether | Sulfide,Amine=0.3289 | Haloalkane=0.3325,Amide=0.9795 | Ester=0.7462 | Ether=0.6033 | Sulfide=0.7059
229975,3,3,6,Alkane | Amine | Ester | Ether | Sulfide,Alkane | Amide | Amine | Arene | Haloalkane,Ester | Ether | Sulfide,Amide | Arene | Haloalkane,Ester=0.1199 | Ether=0.3445 | Sulfide=0.4030,Amide=0.4931 | Arene=0.7088 | Haloalkane=0.6438
230527,2,4,6,Alkane | Alkene | Amine | Enamine,Alkane | Amide | Amine | Haloalkane | Sulfide | Thial,Alkene | Enamine,Amide | Haloalkane | Sulfide | Thial,Alkene=0.0231 | Enamine=0.0062,Amide=0.5850 | Haloalkane=0.6412 | Sulfide=0.5901 | Thial=0.0247
231770,2,4,6,Alcohol | Alkane | Alkyne | Ester | Ether,Alcohol | Alkane | Alkyne | Amide | Arene | Haloalkane | Sulfide,Ester | Ether,Amide | Arene | Haloalkane | Sulfide,Ester=0.0159 | Ether=0.1695,Amide=0.7197 | Arene=0.9611 | Haloalkane=0.5525 | Sulfide=0.7139
233396,5,1,6,Alcohol | Alkane | Alkene | Amide | Amine | Carboxylic acid | Sulfide | Thioamide,Alcohol | Alkane | Carboxylic acid | Haloalkane,Alkene | Amide | Amine | Sulfide | Thioamide,Haloalkane,Alkene=0.3375 | Amide=0.0335 | Amine=0.1329 | Sulfide=0.2020 | Thioamide=0.0000,Haloalkane=0.8216
239400,1,5,6,Alkane | Amide | Arene | Haloalkane | Sulfonate,Alkane | Alkene | Amine | Arene | Ester | Ether | Haloalkane | Ketone | Sulfonate,Amide,Alkene | Amine | Ester | Ether | Ketone,Amide=0.0698,Alkene=0.9391 | Amine=0.8028 | Ester=0.8895 | Ether=0.6937 | Ketone=0.9702
240795,2,4,6,Aldehyde | Alkane | Alkene,Alkane | Amine | Ester | Ether | Sulfide,Aldehyde | Alkene,Amine | Ester | Ether | Sulfide,Aldehyde=0.0747 | Alkene=0.5916,Amine=0.5935 | Ester=0.6818 | Ether=0.9159 | Sulfide=0.7497
242672,4,2,6,Alkane | Amide | Arene | Ester | Ether | Haloalkane,Amine | Arene | Haloalkane | Hydrazone,Alkane | Amide | Ester | Ether,Amine | Hydrazone,Alkane=0.0324 | Amide=0.1084 | Ester=0.3286 | Ether=0.2161,Amine=0.6077 | Hydrazone=0.9726
242893,2,4,6,Alkane | Arene | Carbamate | Ester | Ether | Sulfonamide,Alkane | Amide | Amine | Arene | Ether | Haloalkane | Sulfide | Sulfonamide,Carbamate | Ester,Amide | Amine | Haloalkane | Sulfide,Carbamate=0.5988 | Ester=0.0832,Amide=0.9569 | Amine=0.5428 | Haloalkane=0.4284 | Sulfide=0.7813
242944,3,3,6,Alkane | Amine | Arene | Ester | Ether | Haloalkane | Hydrazone | Sulfonate,Alkane | Amide | Amine | Arene | Ester | Ether | Ketone | Sulfonamide,Haloalkane | Hydrazone | Sulfonate,Amide | Ketone | Sulfonamide,Haloalkane=0.3788 | Hydrazone=0.0002 | Sulfonate=0.6314,Amide=0.5219 | Ketone=0.8427 | Sulfonamide=0.9584
244487,2,4,6,Alcohol | Alkane | Amine | Arene | Ketone | Phenol,Alcohol | Alkane | Amide | Arene | Ester | Ether | Phenol | Sulfide,Amine | Ketone,Amide | Ester | Ether | Sulfide,Amine=0.1705 | Ketone=0.2996,Amide=0.7730 | Ester=0.6869 | Ether=0.4748 | Sulfide=0.7438
246353,3,3,6,Alcohol | Arene | Carboxylic acid | Ether | Haloalkane | Sulfoxide,Alcohol | Alkane | Alkyne | Amine | Arene | Carboxylic acid,Ether | Haloalkane | Sulfoxide,Alkane | Alkyne | Amine,Ether=0.0697 | Haloalkane=0.3506 | Sulfoxide=0.0002,Alkane=0.7040 | Alkyne=0.9632 | Amine=0.6346
251924,3,3,6,Alcohol | Alkane | Amine | Ester | Ether | Sulfide | Sulfoxide,Alcohol | Alkane | Amine | Arene | Haloalkane | Sulfide | Sulfonamide,Ester | Ether | Sulfoxide,Arene | Haloalkane | Sulfonamide,Ester=0.0580 | Ether=0.2888 | Sulfoxide=0.0003,Arene=0.8480 | Haloalkane=0.5236 | Sulfonamide=0.9902
252850,3,3,6,Alkane | Alkene | Amine | Arene | Ether | Haloalkane | Sulfonamide,Alkane | Alkene | Amide | Arene | Haloalkane | Imide | Sulfide,Amine | Ether | Sulfonamide,Amide | Imide | Sulfide,Amine=0.3636 | Ether=0.1093 | Sulfonamide=0.0784,Amide=0.4620 | Imide=0.9848 | Sulfide=0.8670
254742,2,4,6,Alkane | Amide | Hydrazone | Ketone,Alkane | Amide | Ether | Haloalkane | Hydrazine | Sulfide,Hydrazone | Ketone,Ether | Haloalkane | Hydrazine | Sulfide,Hydrazone=0.8373 | Ketone=0.2263,Ether=0.6559 | Haloalkane=0.4667 | Hydrazine=0.9607 | Sulfide=0.5005
262279,3,3,6,Alcohol | Alkene | Amine | Arene | Carboxylic acid | Hydrazone | Ketone | Sulfonamide,Alcohol | Alkane | Amide | Amine | Arene | Carboxylic acid | Haloalkane | Sulfonamide,Alkene | Hydrazone | Ketone,Alkane | Amide | Haloalkane,Alkene=0.3276 | Hydrazone=0.0000 | Ketone=0.0309,Alkane=0.3944 | Amide=0.4784 | Haloalkane=0.6524
268614,4,2,6,Alcohol | Alkane | Alkene | Amide | Arene | Enol | Ether | Sulfonamide,Alcohol | Alkane | Arene | Ester | Ether | Haloalkane,Alkene | Amide | Enol | Sulfonamide,Ester | Haloalkane,Alkene=0.0174 | Amide=0.0180 | Enol=0.0070 | Sulfonamide=0.0001,Ester=0.6473 | Haloalkane=0.3835
269958,3,3,6,Alkane | Alkene | Amine | Arene | Enamine | Ketone,Alkane | Amide | Amine | Arene | Ether | Haloalkane,Alkene | Enamine | Ketone,Amide | Ether | Haloalkane,Alkene=0.0156 | Enamine=0.0004 | Ketone=0.0005,Amide=0.6665 | Ether=0.4449 | Haloalkane=0.4794
275055,3,3,6,Alcohol | Alkane | Alkene | Amine | Arene | Carboxylic acid | Sulfonamide,Alcohol | Alkane | Arene | Carboxylic acid | Ether | Haloalkane | Sulfide,Alkene | Amine | Sulfonamide,Ether | Haloalkane | Sulfide,Alkene=0.4996 | Amine=0.0366 | Sulfonamide=0.3549,Ether=0.6529 | Haloalkane=0.4827 | Sulfide=0.5108
275239,1,5,6,Alkane | Haloalkane | Nitrile,Alkane | Amide | Arene | Ether | Haloalkane | Ketone | Sulfide,Nitrile,Amide | Arene | Ether | Ketone | Sulfide,Nitrile=0.0145,Amide=0.5740 | Arene=0.9675 | Ether=0.4033 | Ketone=0.7905 | Sulfide=0.4848
278407,3,3,6,Alkane | Alkene | Amide | Arene | Enamine | Imine,Alkane | Alkene | Arene | Ether | Haloalkane | Ketone,Amide | Enamine | Imine,Ether | Haloalkane | Ketone,Amide=0.3053 | Enamine=0.0203 | Imine=0.0174,Ether=0.4552 | Haloalkane=0.5307 | Ketone=0.9864
280916,5,1,6,Alcohol | Alkane | Alkene | Amine | Carbamate | Enamine | Enol | Ether | Ketone,Alcohol | Alkane | Carbamate | Ether | Sulfide,Alkene | Amine | Enamine | Enol | Ketone,Sulfide,Alkene=0.0393 | Amine=0.3716 | Enamine=0.0030 | Enol=0.0000 | Ketone=0.0435,Sulfide=0.7226
282432,1,5,6,Alcohol | Alkane | Ether | Haloalkane,Alcohol | Alkane | Amide | Arene | Ether | Imide | Phenol | Sulfide,Haloalkane,Amide | Arene | Imide | Phenol | Sulfide,Haloalkane=0.3329,Amide=0.5928 | Arene=0.9031 | Imide=0.9387 | Phenol=0.7902 | Sulfide=0.6105
286287,2,4,6,Alcohol | Alkane | Alkene | Carboxylic acid | Enol | Ketone,Alcohol | Alkane | Carboxylic acid | Ester | Ether | Haloalkane | Ketone | Phenol,Alkene | Enol,Ester | Ether | Haloalkane | Phenol,Alkene=0.6149 | Enol=0.0091,Ester=0.7699 | Ether=0.8390 | Haloalkane=0.4558 | Phenol=0.8542
290283,4,2,6,Alcohol | Alkane | Alkene | Ester | Ether | Ketone,Alcohol | Alkane | Arene | Haloalkane,Alkene | Ester | Ether | Ketone,Arene | Haloalkane,Alkene=0.5394 | Ester=0.0520 | Ether=0.3458 | Ketone=0.4024,Arene=0.9040 | Haloalkane=0.5140
290642,2,4,6,Alkane | Amine | Arene | Sulfide | Sulfonamide,Alkane | Amide | Amine | Arene | Haloalkane | Sulfonate | Sulfone,Sulfide | Sulfonamide,Amide | Haloalkane | Sulfonate | Sulfone,Sulfide=0.0685 | Sulfonamide=0.0397,Amide=0.4801 | Haloalkane=0.6097 | Sulfonate=0.9898 | Sulfone=0.8582
291296,2,4,6,Alkane | Amide | Arene | Haloalkane | Imine | Ketone,Alkane | Amine | Arene | Ester | Ether | Haloalkane | Hydrazone | Ketone,Amide | Imine,Amine | Ester | Ether | Hydrazone,Amide=0.1815 | Imine=0.2562,Amine=0.7716 | Ester=0.7922 | Ether=0.8191 | Hydrazone=0.9573
293132,4,2,6,Alkane | Amine | Arene | Ester | Ether | Haloalkane | Ketone | Nitrile,Alkane | Amine | Arene | Enamine | Haloalkane | Sulfide,Ester | Ether | Ketone | Nitrile,Enamine | Sulfide,Ester=0.4254 | Ether=0.2897 | Ketone=0.0109 | Nitrile=0.2271,Enamine=0.9696 | Sulfide=0.5559
294051,3,3,6,Alkane | Alkene | Alkyne | Arene | Haloalkane | Sulfone,Alkane | Amine | Arene | Ether | Haloalkane | Sulfonamide,Alkene | Alkyne | Sulfone,Amine | Ether | Sulfonamide,Alkene=0.0111 | Alkyne=0.0000 | Sulfone=0.0000,Amine=0.9353 | Ether=0.5580 | Sulfonamide=0.9921
296360,3,3,6,Alcohol | Alkene | Amide | Arene | Carboxylic acid | Enol,Alcohol | Alkane | Arene | Carboxylic acid | Haloalkane | Phenol,Alkene | Amide | Enol,Alkane | Haloalkane | Phenol,Alkene=0.0303 | Amide=0.3625 | Enol=0.0004,Alkane=0.2832 | Haloalkane=0.5280 | Phenol=0.8176
301577,6,0,6,Alcohol | Alkane | Alkene | Amide | Amine | Carboxylic acid | Enamine | Ester | Ether | Sulfide,Alkane | Amine | Ether | Sulfide,Alcohol | Alkene | Amide | Carboxylic acid | Enamine | Ester,,Alcohol=0.1035 | Alkene=0.0596 | Amide=0.1252 | Carboxylic acid=0.3950 | Enamine=0.0016 | Ester=0.2101,
302005,4,2,6,Alcohol | Alkane | Amide | Arene | Imide | Nitrile | Phenol,Alcohol | Alkane | Amide | Ether | Haloalkane,Arene | Imide | Nitrile | Phenol,Ether | Haloalkane,Arene=0.0542 | Imide=0.8746 | Nitrile=0.0130 | Phenol=0.2167,Ether=0.3917 | Haloalkane=0.7246
304430,4,2,6,Alkane | Amide | Amine | Arene | Hydrazine | Imide,Alkane | Alkene | Amide | Haloalkane,Amine | Arene | Hydrazine | Imide,Alkene | Haloalkane,Amine=0.0124 | Arene=0.1382 | Hydrazine=0.0000 | Imide=0.1599,Alkene=0.8655 | Haloalkane=0.5351
304597,2,4,6,Alkane | Ketone | Sulfide,Alkane | Amide | Amine | Carbamate | Ether,Ketone | Sulfide,Amide | Amine | Carbamate | Ether,Ketone=0.0009 | Sulfide=0.2834,Amide=0.9254 | Amine=0.4922 | Carbamate=0.9931 | Ether=0.4289
305328,4,2,6,Alcohol | Aldehyde | Arene | Phenol | Sulfide,Alcohol | Alkane | Alkene,Aldehyde | Arene | Phenol | Sulfide,Alkane | Alkene,Aldehyde=0.8820 | Arene=0.2067 | Phenol=0.6307 | Sulfide=0.3023,Alkane=0.9438 | Alkene=0.8851
305648,4,2,6,Alkane | Alkene | Amine | Arene | Enamine | Ester | Ether | Ketone,Alkane | Alkene | Amide | Amine | Arene | Haloalkane,Enamine | Ester | Ether | Ketone,Amide | Haloalkane,Enamine=0.2077 | Ester=0.1817 | Ether=0.2035 | Ketone=0.5102,Amide=0.7916 | Haloalkane=0.3821
308070,3,3,6,Alkane | Amide | Arene | Ether | Haloalkane | Imide,Alkane | Amine | Arene | Carbamate | Ether | Sulfide,Amide | Haloalkane | Imide,Amine | Carbamate | Sulfide,Amide=0.3765 | Haloalkane=0.2904 | Imide=0.0012,Amine=0.6048 | Carbamate=0.9756 | Sulfide=0.5322
317113,3,3,6,Amine | Arene | Ether | Thioamide,Alkane | Amide | Arene | Sulfide,Amine | Ether | Thioamide,Alkane | Amide | Sulfide,Amine=0.4516 | Ether=0.1500 | Thioamide=0.0002,Alkane=0.5230 | Amide=0.7283 | Sulfide=0.5796
320098,2,4,6,Alcohol | Alkane | Amide | Amine | Arene | Ether | Haloalkane,Alcohol | Alkane | Alkene | Amine | Arene | Ester | Haloalkane | Phenol | Thioamide,Amide | Ether,Alkene | Ester | Phenol | Thioamide,Amide=0.4127 | Ether=0.3551,Alkene=0.8775 | Ester=0.8310 | Phenol=0.9993 | Thioamide=0.8788
320698,2,4,6,Alkane | Amine | Arene | Thioamide,Alkane | Amide | Arene | Ether | Haloalkane | Sulfide,Amine | Thioamide,Amide | Ether | Haloalkane | Sulfide,Amine=0.1195 | Thioamide=0.0000,Amide=0.9034 | Ether=0.5658 | Haloalkane=0.4053 | Sulfide=0.5021
328537,4,2,6,Alkane | Alkene | Amine | Arene | Enamine | Ester | Ether | Haloalkane | Sulfonamide,Alcohol | Alkane | Amine | Arene | Ester | Sulfide | Sulfonamide,Alkene | Enamine | Ether | Haloalkane,Alcohol | Sulfide,Alkene=0.0174 | Enamine=0.0000 | Ether=0.2379 | Haloalkane=0.2088,Alcohol=0.8836 | Sulfide=0.9535
328617,5,1,6,Alcohol | Alkane | Alkene | Amide | Amine | Arene | Enamine | Enol | Sulfide | Sulfonamide,Alkane | Amide | Amine | Arene | Haloalkane | Sulfide,Alcohol | Alkene | Enamine | Enol | Sulfonamide,Haloalkane,Alcohol=0.0002 | Alkene=0.0017 | Enamine=0.0000 | Enol=0.0000 | Sulfonamide=0.2323,Haloalkane=0.5306
345321,4,2,6,Alkane | Alkene | Amine | Arene | Enamine | Ether | Haloalkane | Ketone | Sulfonamide,Alkane | Amide | Amine | Arene | Ester | Ether | Haloalkane,Alkene | Enamine | Ketone | Sulfonamide,Amide | Ester,Alkene=0.1804 | Enamine=0.1177 | Ketone=0.4122 | Sulfonamide=0.1965,Amide=0.6103 | Ester=0.6933
345464,5,1,6,Aldehyde | Alkane | Alkene | Amine | Enamine | Haloalkane,Alkane | Sulfide,Aldehyde | Alkene | Amine | Enamine | Haloalkane,Sulfide,Aldehyde=0.3672 | Alkene=0.0083 | Amine=0.0316 | Enamine=0.0000 | Haloalkane=0.2573,Sulfide=0.9110
345652,3,3,6,Alkane | Amine | Arene | Sulfoxide,Acyl halide | Alkane | Alkene | Haloalkane,Amine | Arene | Sulfoxide,Acyl halide | Alkene | Haloalkane,Amine=0.3986 | Arene=0.0759 | Sulfoxide=0.0000,Acyl halide=0.9994 | Alkene=0.8989 | Haloalkane=0.9496
350300,3,3,6,Alcohol | Alkane | Amide | Arene | Ester | Ether | Haloalkane,Alcohol | Alkane | Alkene | Amide | Amine | Ether | Sulfide,Arene | Ester | Haloalkane,Alkene | Amine | Sulfide,Arene=0.0001 | Ester=0.1276 | Haloalkane=0.2392,Alkene=0.9003 | Amine=0.7002 | Sulfide=0.5192
